Messzeit Spektrum (s):;
277;43
278;34
279;36
280;47
281;39
282;46
283;45
284;31
285;34
286;20
287;26
288;40
289;37
290;46
291;36
292;36
293;27
294;29
295;27
296;36
297;34
298;30
299;22
300;34
301;16
302;37
303;36
304;30
305;21
306;32
307;43
308;19
309;30
310;30
311;29
312;34
313;26
314;26
315;23
316;20
317;27
318;24
319;21
320;27
321;18
322;20
323;37
324;29
325;25
326;39
327;29
328;26
329;24
330;30
331;25
332;29
333;24
334;33
335;25
336;32
337;32
338;21
339;26
340;29
341;26
342;19
343;26
344;7
345;29
346;40
347;29
348;31
349;24
350;18
351;33
352;25
353;27
354;35
355;28
356;36
357;30
358;24
359;26
360;21
361;31
362;28
363;29
364;35
365;26
366;22
367;30
368;30
369;30
370;21
371;22
372;28
373;31
374;37
375;23
376;25
377;17
378;29
379;31
380;18
381;30
382;26
383;21
384;34
385;27
386;27
387;26
388;39
389;25
390;27
391;29
392;23
393;28
394;28
395;18
396;32
397;24
398;22
399;28
400;27
401;30
402;24
403;19
404;27
405;26
406;31
407;24
408;24
409;24
410;31
411;29
412;20
413;24
414;23
415;24
416;21
417;20
418;27
419;34
420;27
421;26
422;27
423;21
424;27
425;26
426;28
427;26
428;30
429;24
430;36
431;34
432;25
433;19
434;49
435;26
436;38
437;22
438;34
439;16
440;24
441;27
442;24
443;42
444;30
445;23
446;35
447;29
448;49
449;33
450;40
451;26
452;33
453;17
454;35
455;29
456;48
457;45
458;41
459;24
460;36
461;28
462;29
463;36
464;33
465;34
466;44
467;31
468;35
469;36
470;43
471;37
472;34
473;42
474;35
475;39
476;43
477;30
478;26
479;38
480;37
481;32
482;39
483;40
484;30
485;28
486;30
487;35
488;36
489;29
490;39
491;27
492;37
493;45
494;29
495;26
496;33
497;15
498;26
499;29
500;36
501;35
502;29
503;35
504;33
505;25
506;16
507;14
508;27
509;39
510;36
511;26
512;20
513;18
514;20
515;31
516;30
517;17
518;18
519;21
520;33
521;32
522;35
523;21
524;22
525;29
526;20
527;18
528;26
529;8
530;20
531;24
532;22
533;20
534;22
535;20
536;19
537;24
538;21
539;10
540;17
541;23
542;18
543;15
544;23
545;15
546;14
547;22
548;16
549;22
550;25
551;22
552;16
553;25
554;21
555;11
556;10
557;10
558;17
559;11
560;26
561;10
562;20
563;21
564;11
565;18
566;22
567;12
568;13
569;21
570;10
571;22
572;16
573;14
574;14
575;18
576;18
577;17
578;17
579;16
580;19
581;20
582;13
583;15
584;20
585;28
586;20
587;24
588;23
589;13
590;16
591;16
592;23
593;23
594;21
595;27
596;18
597;21
598;23
599;14
600;14
601;23
602;25
603;11
604;25
605;20
606;23
607;20
608;21
609;17
610;13
611;29
612;22
613;22
614;29
615;16
616;17
617;23
618;17
619;13
620;21
621;24
622;12
623;19
624;28
625;29
626;25
627;6
628;16
629;10
630;20
631;15
632;17
633;27
634;25
635;19
636;14
637;22
638;17
639;19
640;15
641;18
642;20
643;18
644;9
645;16
646;23
647;19
648;20
649;15
650;23
651;27
652;23
653;11
654;13
655;17
656;10
657;8
658;15
659;20
660;27
661;14
662;18
663;17
664;18
665;15
666;5
667;22
668;12
669;17
670;19
671;14
672;13
673;14
674;15
675;17
676;19
677;23
678;23
679;18
680;17
681;19
682;18
683;15
684;11
685;16
686;15
687;22
688;20
689;21
690;18
691;26
692;14
693;12
694;15
695;18
696;23
697;23
698;15
699;17
700;14
701;12
702;12
703;8
704;22
705;22
706;27
707;15
708;23
709;14
710;12
711;18
712;7
713;12
714;21
715;19
716;11
717;13
718;17
719;13
720;14
721;10
722;17
723;21
724;12
725;18
726;14
727;21
728;19
729;13
730;14
731;15
732;10
733;24
734;12
735;20
736;8
737;14
738;26
739;21
740;19
741;11
742;12
743;24
744;15
745;13
746;19
747;21
748;17
749;25
750;17
751;19
752;19
753;15
754;16
755;14
756;11
757;18
758;12
759;13
760;7
761;9
762;12
763;10
764;14
765;15
766;15
767;21
768;15
769;12
770;19
771;4
772;23
773;10
774;9
775;18
776;16
777;13
778;16
779;17
780;15
781;11
782;11
783;20
784;17
785;10
786;20
787;10
788;19
789;13
790;16
791;14
792;23
793;21
794;14
795;21
796;10
797;11
798;16
799;14
800;7
801;19
802;17
803;16
804;29
805;14
806;13
807;22
808;22
809;29
810;17
811;17
812;14
813;14
814;14
815;11
816;19
817;12
818;5
819;8
820;29
821;14
822;15
823;11
824;11
825;12
826;12
827;12
828;15
829;13
830;17
831;13
832;21
833;12
834;19
835;26
836;17
837;8
838;17
839;12
840;10
841;12
842;13
843;18
844;22
845;13
846;12
847;11
848;15
849;14
850;18
851;4
852;10
853;14
854;17
855;18
856;18
857;17
858;14
859;15
860;14
861;24
862;12
863;15
864;5
865;10
866;24
867;19
868;17
869;13
870;19
871;11
872;15
873;7
874;15
875;20
876;13
877;9
878;12
879;19
880;11
881;12
882;19
883;21
884;20
885;10
886;13
887;13
888;16
889;19
890;19
891;11
892;15
893;16
894;14
895;20
896;17
897;11
898;11
899;3
900;22
901;13
902;12
903;17
904;10
905;9
906;14
907;6
908;15
909;10
910;11
911;15
912;8
913;7
914;12
915;14
916;8
917;10
918;13
919;14
920;14
921;17
922;21
923;13
924;11
925;12
926;10
927;16
928;13
929;16
930;8
931;11
932;11
933;7
934;11
935;17
936;15
937;10
938;14
939;6
940;12
941;6
942;5
943;11
944;8
945;17
946;13
947;7
948;10
949;15
950;8
951;10
952;8
953;3
954;15
955;17
956;7
957;12
958;12
959;11
960;14
961;9
962;8
963;16
964;15
965;11
966;14
967;13
968;9
969;10
970;1
971;13
972;8
973;11
974;15
975;14
976;9
977;12
978;14
979;7
980;12
981;9
982;11
983;10
984;11
985;7
986;6
987;8
988;10
989;8
990;10
991;4
992;7
993;10
994;17
995;8
996;9
997;11
998;8
999;10
1000;9
1001;15
1002;11
1003;11
1004;10
1005;11
1006;10
1007;13
1008;9
1009;11
1010;12
1011;6
1012;8
1013;15
1014;3
1015;15
1016;3
1017;8
1018;10
1019;14
1020;9
1021;7
1022;6
1023;7
1024;3
1025;6
1026;7
1027;9
1028;7
1029;6
1030;7
1031;4
1032;6
1033;3
1034;2
1035;8
1036;8
1037;6
1038;3
1039;7
1040;0
1041;-1
1042;8
1043;1
1044;5
1045;9
1046;10
1047;7
1048;5
1049;6
1050;4
1051;4
1052;10
1053;3
1054;9
1055;5
1056;7
1057;17
1058;7
1059;7
1060;3
1061;6
1062;10
1063;5
1064;11
1065;4
1066;13
1067;6
1068;9
1069;13
1070;7
1071;4
1072;5
1073;9
1074;3
1075;9
1076;6
1077;8
1078;10
1079;15
1080;4
1081;10
1082;5
1083;3
1084;8
1085;4
1086;7
1087;7
1088;9
1089;8
1090;9
1091;6
1092;4
1093;5
1094;6
1095;8
1096;10
1097;3
1098;1
1099;9
1100;7
1101;6
1102;10
1103;10
1104;9
1105;6
1106;10
1107;6
1108;8
1109;6
1110;3
1111;-3
1112;8
1113;5
1114;7
1115;-1
1116;2
1117;3
1118;5
1119;4
1120;9
1121;-3
1122;-2
1123;1
1124;3
1125;5
1126;3
1127;5
1128;8
1129;5
1130;10
1131;17
1132;4
1133;0
1134;7
1135;8
1136;4
1137;11
1138;15
1139;9
1140;8
1141;10
1142;0
1143;8
1144;11
1145;2
1146;7
1147;4
1148;4
1149;3
1150;2
1151;12
1152;1
1153;6
1154;4
1155;0
1156;4
1157;2
1158;0
1159;1
1160;2
1161;11
1162;11
1163;7
1164;9
1165;9
1166;9
1167;10
1168;4
1169;2
1170;9
1171;4
1172;1
1173;4
1174;3
1175;7
1176;8
1177;4
1178;4
1179;4
1180;1
1181;8
1182;6
1183;1
1184;4
1185;9
1186;6
1187;1
1188;5
1189;6
1190;2
1191;6
1192;3
1193;4
1194;5
1195;8
1196;2
1197;4
1198;8
1199;-1
1200;8
1201;1
1202;1
1203;6
1204;5
1205;-1
1206;6
1207;1
1208;2
1209;8
1210;0
1211;1
1212;0
1213;5
1214;4
1215;-4
1216;8
1217;1
1218;7
1219;5
1220;0
1221;2
1222;14
1223;2
1224;-2
1225;0
1226;-2
1227;5
1228;0
1229;7
1230;2
1231;3
1232;-1
1233;8
1234;6
1235;8
1236;4
1237;2
1238;2
1239;2
1240;8
1241;2
1242;10
1243;-3
1244;5
1245;1
1246;3
1247;2
1248;4
1249;2
1250;4
1251;5
1252;-1
1253;6
1254;9
1255;5
1256;3
1257;2
1258;0
1259;0
1260;2
1261;4
1262;4
1263;1
1264;0
1265;2
1266;1
1267;3
1268;6
1269;2
1270;6
1271;-4
1272;3
1273;5
1274;5
1275;0
1276;-2
1277;5
1278;2
1279;5
1280;4
1281;7
1282;1
1283;3
1284;9
1285;0
1286;0
1287;0
1288;2
1289;1
1290;1
1291;7
1292;2
1293;6
1294;8
1295;4
1296;2
1297;7
1298;4
1299;1
1300;13
1301;4
1302;1
1303;-4
1304;0
1305;0
1306;6
1307;3
1308;8
1309;2
1310;7
1311;0
1312;5
1313;-4
1314;8
1315;8
1316;7
1317;3
1318;-1
1319;12
1320;4
1321;8
1322;4
1323;4
1324;6
1325;7
1326;-1
1327;1
1328;3
1329;4
1330;7
1331;2
1332;3
1333;8
1334;4
1335;2
1336;7
1337;3
1338;1
1339;5
1340;4
1341;0
1342;6
1343;0
1344;0
1345;3
1346;3
1347;6
1348;4
1349;0
1350;4
1351;3
1352;5
1353;1
1354;6
1355;2
1356;-1
1357;4
1358;3
1359;2
1360;4
1361;8
1362;5
1363;5
1364;2
1365;3
1366;5
1367;3
1368;5
1369;5
1370;5
1371;2
1372;3
1373;3
1374;2
1375;3
1376;4
1377;3
1378;-1
1379;1
1380;5
1381;6
1382;-2
1383;6
1384;3
1385;1
1386;0
1387;-3
1388;5
1389;4
1390;6
1391;4
1392;-4
1393;3
1394;-1
1395;4
1396;7
1397;5
1398;7
1399;10
1400;-1
1401;2
1402;0
1403;0
1404;5
1405;4
1406;-1
1407;6
1408;9
1409;-1
1410;1
1411;0
1412;2
1413;6
1414;0
1415;6
1416;7
1417;7
1418;7
1419;5
1420;8
1421;0
1422;-1
1423;7
1424;1
1425;0
1426;10
1427;7
1428;1
1429;0
1430;5
1431;7
1432;4
1433;0
1434;2
1435;5
1436;2
1437;5
1438;0
1439;1
1440;6
1441;1
1442;0
1443;3
1444;2
1445;3
1446;6
1447;0
1448;-3
1449;-1
1450;-1
1451;7
1452;3
1453;1
1454;3
1455;-2
1456;2
1457;5
1458;2
1459;0
1460;-7
1461;3
1462;3
1463;0
1464;5
1465;2
1466;6
1467;6
1468;2
1469;6
1470;4
1471;0
1472;7
1473;0
1474;3
1475;3
1476;1
1477;1
1478;5
1479;-1
1480;2
1481;4
1482;3
1483;4
1484;2
1485;1
1486;3
1487;-2
1488;6
1489;1
1490;-2
1491;3
1492;5
1493;3
1494;-1
1495;1
1496;2
1497;3
1498;3
1499;0
1500;6
1501;1
1502;5
1503;5
1504;-3
1505;1
1506;-1
1507;4
1508;4
1509;3
1510;2
1511;3
1512;1
1513;2
1514;0
1515;5
1516;3
1517;-1
1518;-1
1519;2
1520;-1
1521;2
1522;2
1523;0
1524;7
1525;3
1526;3
1527;1
1528;2
1529;4
1530;-1
1531;7
1532;3
1533;1
1534;0
1535;-3
1536;2
1537;5
1538;3
1539;3
1540;2
1541;6
1542;-1
1543;0
1544;-2
1545;-1
1546;1
1547;3
1548;1
1549;-1
1550;3
1551;9
1552;2
1553;2
1554;0
1555;3
1556;2
1557;0
1558;0
1559;4
1560;1
1561;2
1562;2
1563;3
1564;2
1565;2
1566;-1
1567;2
1568;2
1569;3
1570;1
1571;3
1572;-2
1573;3
1574;5
1575;5
1576;2
1577;-1
1578;3
1579;2
1580;1
1581;2
1582;0
1583;2
1584;-2
1585;-2
1586;6
1587;0
1588;1
1589;2
1590;-1
1591;6
1592;-3
1593;2
1594;-2
1595;3
1596;2
1597;2
1598;1
1599;6
1600;5
1601;2
1602;0
1603;3
1604;3
1605;4
1606;0
1607;2
1608;3
1609;6
1610;2
1611;1
1612;3
1613;-1
1614;1
1615;-8
1616;1
1617;0
1618;4
1619;2
1620;2
1621;-2
1622;-1
1623;0
1624;3
1625;1
1626;-3
1627;3
1628;-2
1629;2
1630;0
1631;1
1632;-2
1633;3
1634;1
1635;-1
1636;6
1637;5
1638;3
1639;-2
1640;1
1641;-1
1642;-2
1643;2
1644;1
1645;-3
1646;2
1647;7
1648;-2
1649;1
1650;1
1651;6
1652;2
1653;1
1654;4
1655;6
1656;-2
1657;2
1658;3
1659;2
1660;1
1661;1
1662;4
1663;0
1664;-2
1665;2
1666;0
1667;4
1668;3
1669;3
1670;0
1671;1
1672;3
1673;3
1674;3
1675;-4
1676;-3
1677;2
1678;3
1679;3
1680;3
1681;-2
1682;1
1683;-2
1684;2
1685;2
1686;-3
1687;0
1688;0
1689;1
1690;1
1691;-3
1692;5
1693;-1
1694;0
1695;3
1696;2
1697;4
1698;2
1699;-1
1700;0
1701;-1
1702;0
1703;0
1704;5
1705;0
1706;2
1707;-3
1708;2
1709;4
1710;4
1711;-2
1712;2
1713;-2
1714;2
1715;4
1716;0
1717;-4
1718;2
1719;2
1720;-3
1721;1
1722;1
1723;1
1724;3
1725;2
1726;0
1727;3
1728;-1
1729;2
1730;4
1731;1
1732;2
1733;2
1734;-2
1735;0
1736;1
1737;-3
1738;2
1739;-1
1740;-1
1741;2
1742;-2
1743;2
1744;2
1745;-1
1746;1
1747;1
1748;-1
1749;0
1750;2
1751;0
1752;2
1753;6
1754;0
1755;0
1756;-4
1757;0
1758;4
1759;1
1760;0
1761;3
1762;0
1763;0
1764;5
1765;-2
1766;3
1767;4
1768;1
1769;1
1770;2
1771;4
1772;-2
1773;-4
1774;-4
1775;1
1776;-2
1777;4
1778;-2
1779;0
1780;-2
1781;1
1782;3
1783;-1
1784;5
1785;4
1786;-4
1787;3
1788;-4
1789;3
1790;5
1791;0
1792;5
1793;3
1794;-2
1795;6
1796;0
1797;1
1798;4
1799;3
1800;1
1801;-3
1802;-1
1803;0
1804;-1
1805;-1
1806;2
1807;-1
1808;-2
1809;0
1810;-4
1811;0
1812;1
1813;1
1814;6
1815;3
1816;-1
1817;-1
1818;2
1819;3
1820;-2
1821;1
1822;2
1823;0
1824;4
1825;0
1826;0
1827;-2
1828;0
1829;-5
1830;-1
1831;0
1832;-3
1833;4
1834;1
1835;-2
1836;2
1837;0
1838;1
1839;0
1840;1
1841;0
1842;-5
1843;-2
1844;1
1845;-1
1846;0
1847;2
1848;-2
1849;3
1850;1
1851;1
1852;-1
1853;0
1854;2
1855;1
1856;-1
1857;1
1858;1
1859;0
1860;-2
1861;0
1862;0
1863;3
1864;0
1865;3
1866;-2
1867;3
1868;-1
1869;2
1870;3
1871;-1
1872;2
1873;3
1874;1
1875;1
1876;-3
1877;-1
1878;-2
1879;0
1880;0
1881;-2
1882;-2
1883;1
1884;1
1885;5
1886;0
1887;-1
1888;-2
1889;2
1890;0
1891;-1
1892;2
1893;0
1894;1
1895;0
1896;-1
1897;1
1898;4
1899;0
1900;-1
1901;3
1902;4
1903;-1
1904;1
1905;2
1906;0
1907;-2
1908;0
1909;0
1910;-2
1911;1
1912;6
1913;4
1914;0
1915;0
1916;-1
1917;2
1918;-1
1919;0
1920;4
1921;-3
1922;2
1923;3
1924;-1
1925;5
1926;-1
1927;1
1928;2
1929;-5
1930;-2
1931;-2
1932;3
1933;3
1934;1
1935;-2
1936;0
1937;1
1938;0
1939;-1
1940;-4
1941;-1
1942;-1
1943;3
1944;1
1945;2
1946;-4
1947;3
1948;4
1949;-1
1950;4
1951;4
1952;2
1953;2
1954;2
1955;2
1956;-2
1957;1
1958;4
1959;2
1960;2
1961;1
1962;3
1963;3
1964;-2
1965;1
1966;1
1967;2
1968;-2
1969;-1
1970;2
1971;1
1972;3
1973;-3
1974;-2
1975;0
1976;0
1977;-2
1978;5
1979;-1
1980;2
1981;-5
1982;1
1983;-1
1984;2
1985;-5
1986;-1
1987;1
1988;1
1989;-1
1990;-1
1991;-2
1992;2
1993;2
1994;1
1995;1
1996;3
1997;1
1998;4
1999;3
2000;-4
2001;-1
2002;-2
2003;2
2004;0
2005;0
2006;0
2007;1
2008;-2
2009;-1
2010;0
2011;0
2012;1
2013;2
2014;1
2015;1
2016;2
2017;-2
2018;0
2019;3
2020;1
2021;-2
2022;-2
2023;0
2024;1
2025;2
2026;-4
2027;1
2028;3
2029;-1
2030;0
2031;1
2032;-5
2033;1
2034;-1
2035;-2
2036;2
2037;2
2038;0
2039;0
2040;0
2041;-1
2042;4
2043;2
2044;-1
2045;0
2046;1
2047;0
